model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
claude,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n.rs,FAILED,811800,gpt5,109386,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251201-064407/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251126-150901/verus-repair.log
o4mini,OS,OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint.rs,FAILED,806526,claude,563791,11,precondition_repair postcondition_repair USELEMMA USELEMMA USELEMMA ADD_TRIGGER_ASSERT USELEMMA ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251129-092047/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251202-112725/verus-repair.log
o4mini,OS,OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k.rs,FAILED,806299,claude,204651,6,postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k-20251128-082728/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k-20251202-023708/verus-repair.log
claude,OS,OS__process_manager__container_tree__new_container_preserve_tree_inv_5.rs,FAILED,804701,claude-s4,35671,2,plain_text_repair,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv_5-20251202-084440/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv_5-20251204-094939/verus-repair.log
gpt5,NR,NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged.rs,TIMEOUT,802925,claude-s4,113715,6,postcondition_repair USELEMMA CASE_ANALYSIS BIT_VECTOR_REASONING plain_text_repair,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251128-172057/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251204-045816/verus-repair.log
o4mini,OS,OS__kernel__syscall_mmap__impl0__syscall_mmap.rs,FAILED,799669,claude-s4,1665599,20,postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair precondition_repair USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251128-182315/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251204-052547/verus-repair.log
gpt5,OS,OS__kernel__mem_util__impl0__create_iommu_table_entry.rs,TIMEOUT,793155,claude,835940,8,postcondition_repair precondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT SEQSETMAP ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251128-192713/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251202-065614/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__next_step_preserves_wf.rs,FAILED,792490,claude,61097,3,postcondition_repair CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_wf-20251129-041722/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_wf-20251202-055503/verus-repair.log
claude,NR,NR__impl_u__l1__impl2__lemma_entries_interp_insert_implies_interp_aux_insert.rs,FAILED,792395,gpt5,148840,7,postcondition_repair INDUCTION CASE_ANALYSIS EXTENSIONAL_EQUALITY CASE_ANALYSIS USELEMMA,all_batch_results-cyy-claude/results-batch_004/o-NR__impl_u__l1__impl2__lemma_entries_interp_insert_implies_interp_aux_insert-20251201-140845/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l1__impl2__lemma_entries_interp_insert_implies_interp_aux_insert-20251127-114017/verus-repair.log
claude-s4,NR,NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal.rs,FAILED,785359,gpt5,364152,13,postcondition_repair CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal-20251204-060445/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal-20251128-195545/verus-repair.log
claude,ST,ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len.rs,FAILED,781002,claude-s4,52322,5,postcondition_repair NONLINEAR_ARITHMETIC INTEGER_RING NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude/results-batch_007/o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251202-180558/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251204-172518/verus-repair.log
claude,OS,OS__process_manager__container_tree__remove_container_preserve_tree_inv_6.rs,FAILED,780642,claude-s4,67834,4,postcondition_repair INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__container_tree__remove_container_preserve_tree_inv_6-20251202-092107/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__container_tree__remove_container_preserve_tree_inv_6-20251204-101428/verus-repair.log
claude-s4,NR,NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove.rs,FAILED,779806,gpt5,63415,4,postcondition_repair CASE_ANALYSIS NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove-20251203-163648/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove-20251127-125353/verus-repair.log
o4mini,IR,IR__single_delivery_state_v__impl3__un_acked_messages_extend.rs,TIMEOUT,771690,claude-s4,107014,5,postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_003/o-IR__single_delivery_state_v__impl3__un_acked_messages_extend-20251127-073948/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__single_delivery_state_v__impl3__un_acked_messages_extend-20251203-143730/verus-repair.log
gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper5.rs,TIMEOUT,771108,claude-s4,124857,7,postcondition_repair CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS postcondition_repair USELEMMA,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251129-195547/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251204-150355/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal.rs,FAILED,767960,gpt5,364152,13,postcondition_repair CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal-20251129-010920/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal-20251128-195545/verus-repair.log
claude-s4,ST,ST__pmemutil_L_single_write_crash_effect_on_pm_regions_view.rs,FAILED,766361,claude,37385,4,postcondition_repair INSTANTIATE_FORALL EXTENSIONAL_EQUALITY,all_batch_results-cyy-claude-s4/results-batch_008/o-ST__pmemutil_L_single_write_crash_effect_on_pm_regions_view-20251204-084850/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__pmemutil_L_single_write_crash_effect_on_pm_regions_view-20251202-110308/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp__in_flight_at_all_delete_to_delete.rs,FAILED,765757,gpt5,115577,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp__in_flight_at_all_delete_to_delete-20251203-091802/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp__in_flight_at_all_delete_to_delete-20251126-145522/verus-repair.log
o4mini,OS,OS__process_manager__impl_base__impl0__run_blocked_thread.rs,FAILED,765730,claude,657412,14,precondition_repair postcondition_repair postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA ADD_TRIGGER_ASSERT CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL POSTCONDITION_REPAIR LOOPINV,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251129-083415/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251202-105211/verus-repair.log
o4mini,OS,OS__process_manager__container_tree__new_container_preserve_tree_inv.rs,TIMEOUT,764773,claude,14286,2,postcondition_repair,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv-20251129-041412/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv-20251202-082903/verus-repair.log
claude-s4,ST,ST__inv_L_invariant_imply_crash_recover_for_one_log.rs,FAILED,749979,claude,596569,16,postcondition_repair USELEMMA CASE_ANALYSIS EXTENSIONAL_EQUALITY NONLINEAR_ARITHMETIC SEQSETMAP ADD_TRIGGER_ASSERT SEQSETMAP COMPUTE ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__inv_L_invariant_imply_crash_recover_for_one_log-20251204-164341/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__inv_L_invariant_imply_crash_recover_for_one_log-20251202-171139/verus-repair.log
claude,NR,NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal.rs,FAILED,749502,gpt5,364152,13,postcondition_repair CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal-20251202-034942/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_valid_not_pending_implies_equal-20251128-195545/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf.rs,FAILED,748567,claude,395336,11,postcondition_repair USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA INSTANTIATE_FORALL USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251129-023437/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251202-043602/verus-repair.log
gpt5,ST,ST__logimpl_tentatively_append_to_log.rs,TIMEOUT,746168,claude,85002,5,precondition_repair precondition_repair precondition_repair USELEMMA,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_tentatively_append_to_log-20251130-061437/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__logimpl_tentatively_append_to_log-20251202-190231/verus-repair.log
gpt5,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_hl_implies_os.rs,TIMEOUT,734626,claude,78712,4,postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_hl_implies_os-20251127-235844/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_hl_implies_os-20251201-220831/verus-repair.log
claude,NR,NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove.rs,FAILED,722328,gpt5,63415,4,postcondition_repair CASE_ANALYSIS NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove-20251201-143929/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove-20251127-125353/verus-repair.log
gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__pop.rs,TIMEOUT,718018,claude-s4,290032,11,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS USELEMMA SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__pop-20251129-165547/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__pop-20251204-141437/verus-repair.log
claude-s4,ST,ST__inv_L_active_metadata_types_equal_implies_metadata_types_set.rs,FAILED,715186,gpt5,117787,5,postcondition_repair USELEMMA NONLINEAR_ARITHMETIC REVEAL_OPAQUE,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__inv_L_active_metadata_types_equal_implies_metadata_types_set-20251204-160236/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-ST__inv_L_active_metadata_types_equal_implies_metadata_types_set-20251129-234650/verus-repair.log
gpt5,IR,IR__marshal_v__impl3__lemma_serialize_injective.rs,TIMEOUT,711424,claude-s4,75488,6,postcondition_repair CASE_ANALYSIS USELEMMA SEQSETMAP COMPUTE,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl3__lemma_serialize_injective-20251126-215955/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__marshal_v__impl3__lemma_serialize_injective-20251203-122548/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n.rs,FAILED,710528,gpt5,109386,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251203-093521/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251126-150901/verus-repair.log
gpt5,VE,VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper.rs,TIMEOUT,708638,claude,234716,12,postcondition_repair INDUCTION SEQSETMAP INDUCTION INDUCTIVE_LEMMA INDUCTION REVEAL_WITH_FUEL termination_repair REVEAL_WITH_FUEL SEQSETMAP SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper-20251129-181229/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper-20251202-134613/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__interp_vmem_update_range.rs,FAILED,707692,claude,86903,5,postcondition_repair EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__interp_vmem_update_range-20251127-224704/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__os_refinement__interp_vmem_update_range-20251201-152655/verus-repair.log
o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_writenonneg_valid_walk_unchanged.rs,TIMEOUT,707471,gpt5,133362,5,postcondition_repair USELEMMA CASE_ANALYSIS CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonneg_valid_walk_unchanged-20251128-231729/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonneg_valid_walk_unchanged-20251128-182057/verus-repair.log
gpt5,ST,ST__inv_L_active_metadata_set_after_crash.rs,TIMEOUT,703887,claude,342789,11,postcondition_repair USELEMMA EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC USELEMMA COMPUTE,all_batch_results-cyy-gpt5/results-batch_007/o-ST__inv_L_active_metadata_set_after_crash-20251129-231650/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__inv_L_active_metadata_set_after_crash-20251202-161257/verus-repair.log
gpt5,VE,VE__utils__compare_slice.rs,TIMEOUT,702727,claude,10790,3,postcondition_repair LOOPINV,all_batch_results-cyy-gpt5/results-batch_008/o-VE__utils__compare_slice-20251129-190947/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-VE__utils__compare_slice-20251202-142149/verus-repair.log
o4mini,NR,NR__spec_t__hlspec__next_step_preserves_inv.rs,FAILED,698831,claude,708669,15,postcondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL ADD_TRIGGER_ASSERT SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP ADD_TRIGGER_ASSERT CASE_ANALYSIS INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__hlspec__next_step_preserves_inv-20251128-145835/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__hlspec__next_step_preserves_inv-20251202-000120/verus-repair.log
claude,ST,ST__inv_L_active_metadata_types_equal_implies_metadata_types_set.rs,FAILED,696729,gpt5,117787,5,postcondition_repair USELEMMA NONLINEAR_ARITHMETIC REVEAL_OPAQUE,all_batch_results-cyy-claude/results-batch_007/o-ST__inv_L_active_metadata_types_equal_implies_metadata_types_set-20251202-162039/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_007/o-ST__inv_L_active_metadata_types_equal_implies_metadata_types_set-20251129-234650/verus-repair.log
claude,NR,NR__spec_t__mmu__rl2__lemma_mem_view_after_step_write.rs,FAILED,693545,gpt5,65164,4,postcondition_repair CASE_ANALYSIS CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_mem_view_after_step_write-20251202-014543/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_mem_view_after_step_write-20251128-152423/verus-repair.log
gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper1.rs,TIMEOUT,684820,o4mini,622029,15,postcondition_repair USELEMMA SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251129-175547/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251129-155355/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__helper_lemmas__vrs_rely_condition_equivalent_to_lifted_vrs_rely_condition.rs,TIMEOUT,683204,gpt5,103406,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__helper_lemmas__vrs_rely_condition_equivalent_to_lifted_vrs_rely_condition-20251125-221508/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__helper_lemmas__vrs_rely_condition_equivalent_to_lifted_vrs_rely_condition-20251125-221953/verus-repair.log
